Board_State,Optimal_Moves
OOXX O XX,6
OOXX O X ,6
OOXX  OXX,5
OOXX  OX ,5
OOXX   XO,4
OOXX   X ,
OOXXO   X,5
OOXX O  X,6
OOXX  O X,5
OOXX   OX,5
OOXX    X,
OOXX     ,4 5
O XXOXOX ,8
O XXOXO  ,8
O XXOXXO ,1 8
O XXOX O ,8
O XXOX   ,8
O XXOOXX ,8
O XXOOXOX,1
O XXOOX X,7
O XXOOX  ,8
O XXO XOX,1
O XXO XO ,
O XXO X  ,8
O XXOOOXX,1
O XXOO XX,6
O XXOO X ,8
O XXO OXX,5
O XXO OX ,8
O XXO  X ,8
O XXOO  X,1 6 7
O XXO O X,5
O XXO  OX,5
O XXO   X,5
O XXO    ,8
O XXXOOXO,1
O XXXOOX ,1
O XXXOOOX,1
O XXXOO X,1 7
O XXXOO  ,1 7 8
O XXXO OX,6
O XXXO O ,6
O XXXO XO,
O XXXO  O,6
O XXXO   ,6
O XX OXOX,4
O XX OXO ,4
O XX OXXO,4
O XX OX O,4
O XX OX  ,4
O XX OOXX,1 4
O XX OOX ,1 4 8
O XX O XO,4
O XX O X ,4 6
O XX OO X,1 4 7
O XX O OX,1 4 6
O XX O  X,4 6 7
O XX O   ,1 4 6 7 8
O XXX OOX,5
O XXX OO ,5
O XXX OXO,
O XXX O O,5
O XXX O  ,5
O XX XOO ,4 8
O XX XOXO,4
O XX XO O,4
O XX XO  ,
O XX  OXO,4
O XX  OX ,4 5
O XX  OOX,5
O XX  O X,5
O XX  O  ,5
O XXX  OO,5 6
O XXX  O ,
O XX XXOO,4
O XX X OO,4
O XX X O ,
O XX  XOO,4
O XX  XO ,4
O XX   OX,5
O XX   O ,4 5
O XXX   O,
O XX X  O,4
O XX  X O,4
O XX   XO,4
O XX    O,4
O XX     ,4 5
OOXOXX XO,6
OOXOXX X ,6
OOXOXX   ,6 8
OOX XXOXO,3
OOX XXOX ,3
OOX XXO  ,3 8
OOX XX O ,3 6 8
OOX XX XO,
OOX XX  O,3 6
OOX XX   ,
OOXOXO XX,6
OOXOX  XX,6
OOXOX  X ,6
OOX XOOXX,3
OOX XO XX,6
OOX XO X ,6
OOX X OXX,3
OOX X OX ,3
OOX X  XO,6
OOX X  X ,6
OOXOX   X,5 6
OOX XO  X,6
OOX X O X,5
OOX X  OX,5 6
OOX X   X,
OOX X    ,6
O XOXX O ,6 8
O XOXX XO,6
O XOXX  O,6
O XOXX   ,6
O XOXO XX,6
O XOXO X ,1 6
O XOX  XO,1 6
O XOX  X ,6
O XOXO  X,6
O XOX  OX,5 6
O XOX   X,6
O XOX    ,6
O X XOOXX,3
O X XOOX ,1
O X XO XO,1 6
O X XO X ,
O X XOO X,3
O X XO OX,6
O X XO  X,6
O X XO   ,6
O X XXOO ,3 8
O X XXOXO,3
O X XXO O,3
O X XXO  ,3
O X X OXO,1
O X X OX ,3
O X X OOX,5
O X X O X,3
O X X O  ,3
O X XX OO,3 6
O X XX O ,
O X X  OX,
O X X  O ,6
O X XX  O,
O X X  XO,
O X X   O,6
O X X    ,6
OOXOOXXX ,8
OOXO XXXO,4
OOXO XXX ,
OOXO XX  ,4 8
OOX OXXX ,8
OOX OXX  ,8
OOX  XXO ,4 8
OOX  XXXO,4
OOX  XX O,4
OOX  XX  ,
OOXO X X ,8
OOX OX X ,8
OOX  XOX ,8
OOX  X XO,4
OOX  X X ,
OOX  X   ,8
O XOOXXX ,8
O XOOXX  ,8
O XO XXO ,4 8
O XO XXXO,4
O XO XX O,4
O XO XX  ,
O XOOX X ,8
O XO X XO,
O XO X X ,6
O XO X   ,8
O X OXXO ,8
O X OXX  ,8
O X OXOX ,8
O X OX X ,8
O X OX   ,8
O X  XOXO,
O X  XOX ,3
O X  XO  ,8
O X  XXOO,4
O X  XXO ,
O X  X O ,8
O X  XX O,4
O X  X XO,4
O X  X  O,4
O X  X   ,
OOXO  XX ,4 8
OOX O XX ,8
OOX  OXX ,4 8
OOX   XXO,4
OOX   XX ,
OOXO  X X,4 5 7
OOX O X X,5 7
OOX  OX X,4 7
OOX   XOX,4 5
OOX   X X,
OOX   X  ,4
O XOO XX ,8
O XO OXX ,4 8
O XO  XXO,4
O XO  XX ,
O XOO X X,5 7
O XO OX X,4 7
O XO  XOX,4 5
O XO  X X,
O XO  X  ,4
O X OOXX ,8
O X O XX ,8
O X OOX X,7
O X O XOX,5
O X O X X,
O X O X  ,8
O X  OXXO,4
O X  OXX ,
O X  OXOX,4
O X  OX X,
O X  OX  ,4
O X   XOX,
O X   XO ,4
O X   XXO,4
O X   X O,4
O X   X  ,
OOXO   XX,5 6
OOX O  XX,5 6
OOX  O XX,6
OOX   OXX,5
OOX    XX,
OOX    X ,6 8
O XOO  XX,5 6
O XO O XX,6
O XO   XX,6
O XO   X ,6
O X OO XX,6
O X O OXX,5
O X O  XX,
O X O  X ,8
O X  OOXX,3
O X  O XX,6
O X  O X ,4 6
O X   OXX,3
O X   OX ,3
O X    XO,4
O X    X ,6
OOX     X,5
O XO    X,5
O X O   X,5
O X  O  X,6
O X   O X,5
O X    OX,5
O X     X,
O X      ,5 6 8
 OXXOXOXO,0
 OXXOXOX ,8
 OXXOXO  ,8
 OXXOXX O,0 7
 OXXOX XO,0
 OXXOX  O,
 OXXOX   ,7
 OXXOOXXO,0
 OXXOOXX ,
 OXXOOX X,7
 OXXOOX  ,0
 OXXO XXO,0
 OXXO X O,0
 OXXO X  ,7
 OXXOOOXX,0
 OXXOO XX,6
 OXXOO X ,6
 OXXO OXX,5
 OXXO OX ,0 5 8
 OXXO  XO,0
 OXXO  X ,6 8
 OXXOO  X,7
 OXXO O X,5
 OXXO   X,7
 OXXO    ,7
 OXXXOOXO,0
 OXXXOOX ,0 8
 OXXXOOOX,0
 OXXXOO X,0
 OXXXOO  ,0 7 8
 OXXXO OX,
 OXXXO O ,6
 OXXXO XO,6
 OXXXO  O,6
 OXXXO   ,6
 OXX OXOX,4
 OXX OXO ,0 4
 OXX OXXO,
 OXX OX O,0 4
 OXX OX  ,
 OXX OOXX,0 4
 OXX OOX ,0 4 8
 OXX O XO,6
 OXX O X ,6
 OXX OO X,0 4 7
 OXX O OX,4
 OXX O  X,4 6
 OXX O   ,6
 OXXX OOX,
 OXXX OO ,5
 OXXX OXO,5
 OXXX O O,5
 OXXX O  ,5
 OXX XOO ,4 8
 OXX XOXO,4
 OXX XO O,4
 OXX XO  ,
 OXX  OXO,0 4 5
 OXX  OX ,4 5 8
 OXX  OOX,5
 OXX  O X,5
 OXX  O  ,5
 OXXX  OO,5 6
 OXXX  O ,
 OXX XXOO,4
 OXX X OO,4
 OXX X O ,4
 OXX  XOO,0 4
 OXX  XO ,4
 OXX   OX,4
 OXX   O ,4
 OXXX   O,
 OXX X  O,4
 OXX  X O,
 OXX   XO,4 6
 OXX    O,4 6
 OXX     ,4
 OXOXXOXO,0
 OXOXXOX ,0
 OXOXXO  ,8
 OXOXX O ,6 8
 OXOXX XO,6
 OXOXX  O,6
 OXOXX   ,
 OXOXOOXX,0
 OXOXO XX,
 OXOXO X ,6
 OXOX OXX,0
 OXOX OX ,0
 OXOX  XO,6
 OXOX  X ,6
 OXOXO  X,0 6
 OXOX O X,0 5
 OXOX  OX,0 5 6
 OXOX   X,
 OXOX    ,6
 OX XOOXX,0
 OX XOOX ,0 3 8
 OX XO XO,6
 OX XO X ,6
 OX XOO X,0
 OX XO OX,0 6
 OX XO  X,
 OX XO   ,6
 OX XXOO ,3 8
 OX XXOXO,3
 OX XXO O,3
 OX XXO  ,
 OX X OXO,0 3 5
 OX X OX ,0 3 5 8
 OX X OOX,0 5
 OX X O X,
 OX X O  ,5 8
 OX XX OO,3 6
 OX XX O ,
 OX X  OX,
 OX X  O ,6
 OX XX  O,
 OX X  XO,6
 OX X   O,6
 OX X    ,
 OXOOXXXO,0
 OXOOXXX ,8
 OXOOXX  ,8
 OXO XXO ,4 8
 OXO XXXO,4
 OXO XX O,4
 OXO XX  ,
 OXOOX X ,8
 OXO XOX ,8
 OXO X XO,0 4 6
 OXO X X ,8
 OXO X   ,8
 OX OXXXO,0
 OX OXX O,
 OX OXX  ,7
 OX OXOX ,8
 OX OX XO,0
 OX OX X ,8
 OX OX   ,8
 OX  XOXO,0 3 4
 OX  XOX ,8
 OX  XO  ,8
 OX  XXOO,4
 OX  XXO ,4
 OX  X O ,8
 OX  XX O,4
 OX  X XO,3 4 6
 OX  X  O,4
 OX  X   ,
 OXOO XX ,8
 OXO OXX ,4 8
 OXO  XXO,4
 OXO  XX ,
 OXOO X X,5 7
 OXO OX X,4 7
 OXO  XOX,4 5
 OXO  X X,
 OXO  X  ,4
 OX OOXX ,8
 OX O XXO,0
 OX O XX ,8
 OX OOX X,7
 OX O X X,7
 OX O X  ,7
 OX  OXXO,4
 OX  OXX ,
 OX  OXOX,4
 OX  OX X,
 OX  OX  ,4
 OX   XOX,4
 OX   XO ,4
 OX   XXO,4
 OX   X O,4
 OX   X  ,4
 OXOO  XX,5 6
 OXO O XX,6
 OXO  OXX,5
 OXO   XX,
 OXO   X ,6 8
 OX OO XX,6
 OX O OXX,5
 OX O  XX,
 OX O  X ,8
 OX  OOXX,0 3 4
 OX  O XX,6
 OX  O X ,6
 OX   OXX,5
 OX   OX ,0 3 4 5 8
 OX    XO,0 3 4 5 6
 OX    X ,6 8
 OXO    X,5
 OX O   X,5
 OX  O  X,4 6
 OX   O X,5
 OX    OX,5
 OX     X,
 OX      ,4 5 8
  XOXOOXX,0
  XOXOOX ,1
  XOXO XO,1 6
  XOXO X ,
  XOXOO X,0
  XOXO OX,0 6
  XOXO  X,
  XOXO   ,6
  XOXXOO ,8
  XOXXOXO,0
  XOXXO O,
  XOXXO  ,0
  XOX OXO,1
  XOX OX ,0
  XOX OOX,0 5
  XOX O X,0
  XOX O  ,0
  XOXX OO,6
  XOXX O ,
  XOX  OX,
  XOX  O ,6
  XOXX  O,6
  XOX  XO,
  XOX   O,6
  XOX    ,
  XOOXXO ,8
  XOOXXXO,0
  XOOXX O,0
  XOOXX  ,8
  XOOXOX ,8
  XOOX XO,0
  XOOX X ,8
  XOOX   ,8
  XO XOXO,0
  XO XOX ,0
  XO XO  ,8
  XO XXOO,4
  XO XXO ,
  XO X O ,8
  XO XX O,4
  XO X XO,0
  XO X  O,0 6
  XO X   ,8
  XOO XXO,
  XOO XX ,5
  XOO XOX,5
  XOO X X,5
  XOO X  ,5
  XO OXXO,4
  XO OXX ,4
  XO OXOX,4
  XO OX X,4
  XO OX  ,4
  XO  XOX,
  XO  XO ,4
  XO  XXO,4
  XO  X O,4
  XO  X  ,4
  XOO OXX,5
  XOO  XX,5
  XOO  X ,5
  XO OOXX,
  XO O XX,4
  XO O X ,4
  XO  OXX,0
  XO  OX ,0
  XO   XO,1 4
  XO   X ,4
  XOO   X,5
  XO O  X,4
  XO  O X,5
  XO   OX,5
  XO    X,
  XO     ,0 4 8
  XXOOXOX,1
  XXOOXO ,0
  XXOOXXO,0
  XXOOX O,0
  XXOOX  ,0
  XXOOOXX,0 1
  XXOOOX ,0 1 8
  XXOO XO,0
  XXOO X ,0 6
  XXOOO X,0 1 7
  XXOO OX,1
  XXOO  X,0 1 6 7
  XXOO   ,0
  XXOXOO ,8
  XXOXOXO,0
  XXOXO O,
  XXOXO  ,8
  XXO OXO,0
  XXO OX ,0 1 5 8
  XXO OOX,5
  XXO O X,5
  XXO O  ,0 1 7 8
  XXOXXOO,0 1
  XXOX OO,
  XXOX O ,1
  XXO XOO,0
  XXO XO ,1
  XXO  OX,1
  XXO  O ,1
  XXOX  O,0
  XXO X O,0
  XXO  XO,0
  XXO   O,0
  XXO    ,0 1 6 7
  X OXOXO,0
  X OXOX ,8
  X OXO  ,8
  X OXXOO,
  X OXXO ,1
  X OX O ,8
  X OXX O,0
  X OX XO,0
  X OX  O,0
  X OX   ,8
  X OOXXO,
  X OOXX ,3
  X OOXOX,
  X OOX X,3
  X OOX  ,3
  X O XOX,1
  X O XO ,1
  X O XXO,0
  X O X O,0
  X O X  ,1 3 5 7
  X OOOXX,3
  X OO XX,3
  X OO X ,3
  X O OXX,5
  X O OX ,0 3 5 8
  X O  XO,0
  X O  X ,3 5 6 8
  X OO  X,3
  X O O X,5
  X O  OX,5
  X O   X,5
  X O    ,0 1 3 5 6 7 8
  XXXOOOX,0
  XXXOOO ,8
  XXXOOXO,1
  XXXOO O,7
  XXXOO  ,0 1 7 8
  XX OOXO,1
  XX OOX ,0 1 4
  XX OOOX,0
  XX OO X,0 1 4
  XX OO  ,0 1 4 7 8
  XXXO OO,6
  XXXO O ,6
  XX OXOO,0 4
  XX OXO ,
  XX O OX,0 4
  XX O O ,0 6
  XXXO  O,6
  XX OX O,
  XX O XO,
  XX O  O,0 6
  XX O   ,0 6
  X XOOXO,1
  X XOOX ,1
  X XOOOX,0
  X XOO X,0
  X XOO  ,0 1
  X XO OX,
  X XO O ,6
  X XO XO,
  X XO  O,6
  X XO   ,
  X  OXOX,4
  X  OXO ,4
  X  OXXO,4
  X  OX O,4
  X  OX  ,4
  X  OOXX,3
  X  OOX ,1
  X  O XO,1 4
  X  O X ,4
  X  OO X,0
  X  O OX,0 4
  X  O  X,4
  X  O   ,0 1 4
  XXX OO ,8
  XX XOO ,8
  XX  OOX,
  XX  OO ,8
  XXX O O,7
  XX XO O,7
  XX  OXO,1 4
  XX  O O,7
  XX  O  ,4 5 8
  X XXOO ,8
  X X OOX,
  X X OO ,8
  X XXO O,7
  X X OXO,1
  X X O O,7
  X X O  ,0 8
  X  XOO ,8
  X  XOXO,0
  X  XO O,
  X  XO  ,8
  X   OXO,1
  X   OX ,0 1 4
  X   OOX,5
  X   O X,
  X   O  ,0 8
  XXX  OO,6
  XX X OO,6
  XX  XOO,
  XX   OO,6
  XX   O ,4
  X XX OO,6
  X X  OO,6
  X X  O ,
  X  XXOO,4
  X  X OO,
  X  X O ,8
  X   XOO,4
  X   XO ,4
  X    OX,
  X    O ,0 4 8
  XX    O,6
  X X   O,6
  X  X  O,6 7
  X   X O,
  X    XO,1 4
  X     O,0 1 6
  X      ,4
OO XXOXXO,2
OO XXOXX ,2
OO XXOXOX,2
OO XXOX X,2
OO XXOX  ,2
OO XX XOX,2
OO XX XO ,2 5
OO XX XXO,2
OO XX X O,2 5
OO XX X  ,2
OO XXOOXX,2
OO XXO XX,2
OO XXO X ,2
OO XX OXX,2
OO XX OX ,5
OO XX  XO,5
OO XX  X ,2
OO XXO  X,2
OO XX O X,5
OO XX  OX,5
OO XX   X,2
OO XX    ,5
O OXXOXX ,1 8
O OXXOXOX,1
O OXXOX X,1
O OXXOX  ,
O OXX XOX,1
O OXX XO ,5
O OXX XXO,1 5
O OXX X O,5
O OXX X  ,1
O OXXOOXX,1
O OXXO XX,1
O OXXO X ,1
O OXX OXX,1
O OXX OX ,1 5
O OXX  XO,1 5
O OXX  X ,1
O OXXO  X,1
O OXX O X,5
O OXX  OX,5
O OXX   X,1
O OXX    ,5
O  XXOXOX,2
O  XXOXO ,2
O  XXOXXO,2
O  XXOX O,2
O  XXOX  ,2
O  XXOOXX,1
O  XXOOX ,1
O  XXO XO,1
O  XXO X ,1
O  XXOO X,1 2 7
O  XXO OX,1 2 6
O  XXO  X,1 2 6 7
O  XXO   ,1 2 7 8
O  XX OXO,1 5
O  XX OX ,
O  XX OOX,5
O  XX O X,5
O  XX O  ,5
O  XX XOO,2 5
O  XX XO ,
O  XX  OX,5
O  XX  O ,5
O  XX X O,
O  XX  XO,
O  XX   O,5
O  XX    ,5
OO XOXXX ,2 8
OO XOXX X,2 7
OO XOXX  ,
OO X XXOX,2 4
OO X XXO ,4
OO X XXXO,2 4
OO X XX O,4
OO X XX  ,2
OO XOXOXX,2
OO XOX XX,2
OO XOX X ,
OO X XOXX,2
OO X XOX ,4
OO X X XO,4
OO X X X ,2
OO XOX  X,2
OO X XO X,2 4
OO X X OX,2 4
OO X X  X,2
OO X X   ,4
O OXOXXX ,1 8
O OXOXXOX,1
O OXOXX X,1
O OXOXX  ,
O OX XXOX,1
O OX XXO ,4
O OX XXXO,1 4
O OX XX O,4
O OX XX  ,1
O OXOX XX,1 6
O OXOX X ,
O OX XOXX,1 4
O OX XOX ,4
O OX X XO,4
O OX X X ,1
O OXOX  X,
O OX XO X,4
O OX X OX,4
O OX X  X,1
O OX X   ,4
O  XOXXOX,1
O  XOXXO ,
O  XOXX  ,8
O  XOXOXX,2
O  XOXOX ,
O  XOX X ,8
O  XOXO X,2
O  XOX OX,2
O  XOX  X,2
O  XOX   ,
O  X XOXO,4
O  X XOX ,4
O  X XOOX,2 4
O  X XO X,
O  X XO  ,4
O  X XXOO,4
O  X XXO ,4
O  X X OX,
O  X X O ,4
O  X XX O,4
O  X X XO,4
O  X X  O,4
O  X X   ,4
OO XO XX ,8
OO X OXX ,8
OO X  XXO,
OO X  XX ,2
OO XO X X,7
OO X OX X,7
OO X  XOX,
OO X  X X,2
OO X  X  ,
O OXO XX ,8
O OX OXX ,8
O OX  XXO,
O OX  XX ,1
O OXO X X,7
O OX OX X,7
O OX  XOX,1
O OX  X X,1
O OX  X  ,
O  XOOXX ,8
O  XO XX ,8
O  XOOX X,7
O  XO XOX,1
O  XO X X,7
O  XO X  ,8
O  X OXXO,
O  X OXX ,8
O  X OXOX,1 2 4
O  X OX X,7
O  X OX  ,2 8
O  X  XOX,1
O  X  XO ,4
O  X  XXO,4
O  X  X O,4
O  X  X  ,1 2
OO XO  XX,6
OO X O XX,6
OO X  OXX,2
OO X   XX,2
OO X   X ,2
O OXO  XX,6
O OX O XX,6
O OX  OXX,
O OX   XX,1
O OX   X ,
O  XOO XX,6
O  XO OXX,2
O  XO  XX,6
O  XO  X ,8
O  X OOXX,1 2 4
O  X O XX,6
O  X O X ,1 2 4 8
O  X  OXX,2
O  X  OX ,4
O  X   XO,4
O  X   X ,2
OO X    X,2
O OX    X,1
O  XO   X,1 2 6 7
O  X O  X,1 2 4 6 7
O  X  O X,5
O  X   OX,5
O  X    X,2 4 5
O  X     ,1 2 4 8
 OOXXOXX ,0 8
 OOXXOXOX,0
 OOXXOX X,0
 OOXXOX  ,0
 OOXX XOX,0
 OOXX XO ,0 5
 OOXX XXO,0 5
 OOXX X O,0 5
 OOXX X  ,0
 OOXXOOXX,0
 OOXXO XX,0
 OOXXO X ,
 OOXX OXX,0
 OOXX OX ,5
 OOXX  XO,5
 OOXX  X ,0
 OOXXO  X,0
 OOXX O X,0 5
 OOXX  OX,0 5
 OOXX   X,0
 OOXX    ,5
 O XXOXOX,
 O XXOXO ,0 2
 O XXOXXO,2
 O XXOX O,0 2
 O XXOX  ,
 O XXOOXX,0
 O XXOOX ,0 2 8
 O XXO XO,2
 O XXO X ,2
 O XXOO X,0
 O XXO OX,0
 O XXO  X,0
 O XXO   ,0 6
 O XX OXO,5
 O XX OX ,5
 O XX OOX,0 5
 O XX O X,
 O XX O  ,5
 O XX XOO,0 2 5
 O XX XO ,
 O XX  OX,
 O XX  O ,5
 O XX X O,
 O XX  XO,5
 O XX   O,5
 O XX    ,
 OOXOXXXO,0
 OOXOXXX ,0
 OOXOXX X,0 7
 OOXOXX  ,0
 OOX XXOX,0 4
 OOX XXO ,0 4
 OOX XXXO,0
 OOX XX O,0 4
 OOX XX  ,0
 OOXOX XX,0 6
 OOXOX X ,
 OOX XOXX,0 4
 OOX XOX ,4
 OOX X XO,4
 OOX X X ,0
 OOXOX  X,
 OOX XO X,4
 OOX X OX,4
 OOX X  X,0
 OOX X   ,4
 O XOXXXO,0
 O XOXX O,0
 O XOXX  ,7
 O XOXOXX,2
 O XOXOX ,2
 O XOX XO,0
 O XOX X ,0 2
 O XOXO X,2
 O XOX  X,7
 O XOX   ,
 O X XOXO,4
 O X XOX ,4
 O X XOOX,2 4
 O X XO X,
 O X XO  ,4
 O X XXOO,0 4
 O X XXO ,4
 O X X OX,4
 O X X O ,4
 O X XX O,
 O X X XO,4
 O X X  O,4
 O X X   ,4
 OOXO XX ,0 8
 OOX OXX ,0 8
 OOX  XXO,0
 OOX  XX ,0
 OOXO X X,0 7
 OOX OX X,0 7
 OOX  XOX,0
 OOX  X X,0
 OOX  X  ,0
 O XOOXX ,0 8
 O XO XXO,0
 O XO XX ,
 O XOOX X,0 7
 O XO X X,7
 O XO X  ,0
 O X OXXO,0
 O X OXX ,
 O X OXOX,0
 O X OX X,
 O X OX  ,0
 O X  XOX,4
 O X  XO ,0
 O X  XXO,0
 O X  X O,0
 O X  X  ,0
 OOXO  XX,6
 OOX O XX,6
 OOX  OXX,
 OOX   XX,0
 OOX   X ,0
 O XOO XX,6
 O XO OXX,2
 O XO  XX,6
 O XO  X ,6
 O X OOXX,0 2 4
 O X O XX,6
 O X O X ,6
 O X  OXX,2
 O X  OX ,0 2 4 5
 O X   XO,0 2 4 5
 O X   X ,6 8
 OOX    X,0
 O XO   X,7
 O X O  X,0 6
 O X  O X,4 5
 O X   OX,4
 O X    X,4
 O X     ,0 4
  OXXOXOX,0
  OXXOXO ,0
  OXXOX  ,8
  OXXOOXX,
  OXXOOX ,1
  OXXO X ,8
  OXXOO X,0
  OXXO OX,0
  OXXO  X,0
  OXXO   ,8
  OXX OXO,1 5
  OXX OX ,
  OXX OOX,0 5
  OXX O X,
  OXX O  ,5
  OXX XOO,0 5
  OXX XO ,
  OXX  OX,
  OXX  O ,5
  OXX X O,5
  OXX  XO,5
  OXX   O,5
  OXX    ,5
  OXOXXOX,1
  OXOXXO ,0
  OXOXXXO,0
  OXOXX O,0
  OXOXX  ,0
  OXOX XO,
  OXOX X ,6
  OXOX OX,
  OXOX  X,6
  OXOX   ,
  OX XOXO,4
  OX XOX ,4
  OX XOOX,4
  OX XO X,4
  OX XO  ,4
  OX XXOO,0 4
  OX XXO ,
  OX X OX,4
  OX X O ,4
  OX XX O,
  OX X XO,4
  OX X  O,4
  OX X   ,4
  OXOOXX ,0 8
  OXO XXO,0
  OXO XX ,
  OXOOX X,0 7
  OXO XOX,0
  OXO X X,
  OXO X  ,0
  OX OXX ,8
  OX OXOX,0
  OX OX X,
  OX OX  ,0
  OX  XOX,0
  OX  XO ,0
  OX  XXO,5
  OX  X O,0
  OX  X  ,0
  OXOO XX,6
  OXO  XX,6
  OXO  X ,6
  OX OOXX,4
  OX O XX,
  OX O X ,8
  OX  OXX,4
  OX  OX ,4
  OX   XO,
  OX   X ,0 8
  OXO   X,6
  OX O  X,0 6
  OX  O X,4
  OX   OX,0 4
  OX    X,0
  OX     ,0
   XOXOXO,
   XOXOX ,2
   XOXOOX,2
   XOXO X,2
   XOXO  ,
   XOXXOO,0
   XOXXO ,1
   XOX OX,1
   XOX O ,
   XOXX O,0
   XOX XO,0
   XOX  O,
   XOX   ,0 1 2 6 7 8
   XOOXXO,0
   XOOXX ,
   XOOXOX,0
   XOOX X,
   XOOX  ,0
   XO XOX,1
   XO XO ,0
   XO XXO,0
   XO X O,0
   XO X  ,0
   XOOOXX,2
   XOO XX,6
   XOO X ,6
   XO OXX,2
   XO OX ,2
   XO  XO,0
   XO  X ,0 6 8
   XOO  X,6
   XO O X,2
   XO  OX,1
   XO   X,0 1 6 7
   XO    ,0 1 2 6 7 8
   XXOOXO,1
   XXOOX ,1
   XXOOOX,0
   XXOO X,0
   XXOO  ,1 2 7 8
   XXOXOO,0 2
   XXOXO ,
   XXO OX,0
   XXO O ,0 6
   XXOX O,2
   XXO XO,2
   XXO  O,2
   XXO   ,0 2 6 8
   X OXOX,0
   X OXO ,0
   X OXXO,2
   X OX O,0
   X OX  ,0
   X OOXX,0 1 4
   X OOX ,1 2 4 8
   X O XO,2
   X O X ,0 6
   X OO X,0 1 2 4 7
   X O OX,0
   X O  X,0 6
   X O   ,0 1 2 4 6 7 8
   XX OOX,
   XX OO ,5
   XX OXO,
   XX O O,5
   XX O  ,5
   X XOOX,
   X XOO ,4
   X XOXO,4
   X XO O,4
   X XO  ,4
   X  OXO,4
   X  OX ,1 4 5
   X  OOX,4 5
   X  O X,4 5
   X  O  ,2 4 7 8
   XX XOO,
   XX  OO,5
   XX  O ,
   X XXOO,
   X X OO,4
   X X O ,4
   X  XOO,0
   X  XO ,
   X   OX,4
   X   O ,4 6
   XX   O,5
   X X  O,4
   X  X O,
   X   XO,2
   X    O,6
   X     ,0 4 5 6
OO OXXXXO,2
OO OXXXX ,2
OO OXXXOX,2
OO OXXX X,2
OO OXXX  ,2
OO  XXXOX,2
OO  XXXO ,2 3
OO  XXXXO,2
OO  XXX O,2 3
OO  XXX  ,2
OO OXX XX,2 6
OO OXX X ,
OO  XXOXX,2 3
OO  XXOX ,3
OO  XX XO,3
OO  XX X ,2
OO OXX  X,2
OO  XXO X,2 3
OO  XX OX,2 3
OO  XX  X,2
OO  XX   ,3
O OOXXXXO,1
O OOXXXX ,1
O OOXXXOX,1
O OOXXX X,1
O OOXXX  ,1
O O XXXOX,1
O O XXXO ,3
O O XXXXO,1
O O XXX O,3
O O XXX  ,1
O OOXX XX,1 6
O OOXX X ,1
O O XXOXX,1 3
O O XXOX ,1 3
O O XX XO,1 3
O O XX X ,1
O OOXX  X,
O O XXO X,3
O O XX OX,3
O O XX  X,1
O O XX   ,3
O  OXXXOX,2
O  OXXXO ,2
O  OXXXXO,
O  OXXX O,2
O  OXXX  ,2
O  OXX XO,1
O  OXX X ,6
O  OXX OX,2
O  OXX  X,6
O  OXX   ,6
O   XXOXO,1 3
O   XXOX ,3
O   XXOOX,2 3
O   XXO X,3
O   XXO  ,3
O   XXXOO,2 3
O   XXXO ,
O   XX OX,
O   XX O ,3
O   XXX O,
O   XX XO,
O   XX  O,3
O   XX   ,3
OO OX XX ,2 8
OO  XOXX ,2 8
OO  X XXO,2
OO  X XX ,2
OO OX X X,2 7
OO  XOX X,2 7
OO  X XOX,2
OO  X X X,2
OO  X X  ,2
O OOX XX ,1 8
O O XOXX ,1 8
O O X XXO,1
O O X XX ,1
O OOX X X,7
O O XOX X,7
O O X XOX,1
O O X X X,1
O O X X  ,1
O  OXOXX ,1 2 8
O  OX XXO,1 2
O  OX XX ,
O  OXOX X,2 7
O  OX XOX,2
O  OX X X,
O  OX X  ,2
O   XOXXO,1 2
O   XOXX ,
O   XOXOX,2
O   XOX X,
O   XOX  ,2
O   X XOX,2
O   X XO ,2
O   X XXO,
O   X X O,2
O   X X  ,2
OO OX  XX,6
OO  XO XX,6
OO  X OXX,
OO  X  XX,2
OO  X  X ,2
O OOX  XX,1 6
O O XO XX,1 6
O O X OXX,1
O O X  XX,1
O O X  X ,1
O  OXO XX,1 6
O  OX  XX,6
O  OX  X ,1
O   XOOXX,1
O   XO XX,
O   XO X ,1
O   X OXX,3
O   X OX ,1
O   X  XO,1
O   X  X ,1
OO  X   X,2
O O X   X,1
O  OX   X,6
O   XO  X,6 7
O   X O X,3
O   X  OX,2 5
O   X   X,2 6
O   X    ,1 2 3 5 6 7 8
 OOOXXXXO,0
 OOOXXXX ,0
 OOOXXXOX,0
 OOOXXX X,0
 OOOXXX  ,0
 OO XXXOX,0
 OO XXXO ,3
 OO XXXXO,0
 OO XXX O,3
 OO XXX  ,0
 OOOXXOXX,0
 OOOXX XX,0
 OOOXX X ,0
 OO XXOXX,0
 OO XXOX ,3
 OO XX XO,3
 OO XX X ,0
 OOOXX  X,0
 OO XXO X,0 3
 OO XX OX,0 3
 OO XX  X,0
 OO XX   ,3
 O OXXXOX,
 O OXXXO ,2
 O OXXXXO,2
 O OXXX O,2
 O OXXX  ,2
 O OXXOXX,0
 O OXXOX ,0
 O OXX XO,0 2 6
 O OXX X ,0
 O OXXO X,0 2
 O OXX OX,0 2
 O OXX  X,
 O OXX   ,2 8
 O  XXOXO,3
 O  XXOX ,3
 O  XXOOX,0 2 3
 O  XXO X,
 O  XXO  ,3
