Board_State,Optimal_Moves
X O O X  ,3
X O  OXX ,8
X O  OXOX,3 4
X O  OX X,
X O  OX  ,3
X O   XOX,
X O   XO ,3
X O   XXO,5
X O   X O,3
X O   X  ,
X OOO  XX,6
X OO O XX,4 6
X OO  OXX,4
X OO   XX,
X OO   X ,4 8
X O OO XX,6
X O O  XX,6
X O O  X ,6
X O  OOXX,4
X O  O XX,
X O  O X ,8
X O   OXX,4
X O   OX ,4
X O    XO,5
X O    X ,8
X OO    X,4
X O O   X,6
X O  O  X,4
X O   O X,4
X O    OX,4
X O     X,
X O      ,3 6 8
XX OOXOXO,2
XX OOXOX ,2
XX OOXOOX,2
XX OOXO X,2
XX OOXO  ,2
XX OOXXOO,2
XX OOXXO ,2
XX OOX OX,2
XX OOX O ,2
XX OOXX O,2
XX OOX XO,2
XX OOX  O,2
XX OOX   ,2
XX OO XOX,5
XX OO XO ,2
XX OO XXO,5
XX OO X O,2
XX OO X  ,5
XX OO OXX,2 5
XX OO OX ,2
XX OO  XO,2
XX OO  X ,5
XX OO O X,2
XX OO  OX,2
XX OO   X,5
XX OO    ,2
XX OXOO  ,2 7 8
XX OXOXOO,2
XX OXOXO ,
XX OXO O ,2 8
XX OXOX O,2
XX OXO  O,2 7
XX OXO   ,
XX O OXOX,4
XX O OXO ,2
XX O OXXO,2 4
XX O OX O,2
XX O OX  ,4
XX O OOXX,4
XX O OOX ,2 4
XX O O XO,2 4
XX O O X ,4
XX O OO X,2 4
XX O O OX,2 4
XX O O  X,4
XX O O   ,2
XX OXXOO ,8
XX OX OO ,2 8
XX OXXO O,7
XX OX O O,2 7
XX OX O  ,
XX O XOOX,
XX O XOO ,2
XX O XOXO,
XX O XO O,2
XX O XO  ,
XX O  OXO,2 4
XX O  OX ,
XX O  OOX,2 4
XX O  O X,
XX O  O  ,2
XX OXX OO,6
XX OX XOO,2
XX OX  OO,2
XX OX  O ,
XX O XXOO,2
XX O X OO,2
XX O X O ,2
XX O  XOO,2
XX O  XO ,2
XX O   OX,
XX O   O ,2
XX OX   O,
XX O X  O,2
