Board_State,Win_Moves,Draw_Moves,Lose_Moves
OXOOX XOX,,5,
OXOOX X X,,7,5
OXOOX X  ,7,5 8,
OXO XOXOX,,3,
OXO XOX X,,7,3
OXO XOX  ,7,8,3
OXO X XOX,,3 5,
OXO X XO ,,3 5 8,
OXO X X O,5 7,,3
OXO X X  ,,7,3 5 8
OXOOX   X,7,6,5
OXO XO  X,7,3 6,
OXO X O X,3 7,,5
OXO X  OX,,3 5 6,
OXO X   X,,7,3 5 6
OXO X    ,3 5 7,6 8,
OX OXXXOO,2,,
OX OXXXO ,,2,8
OX OXX OX,6,2,
OX OXX O ,,6,2 8
OX OXXX O,,,2 7
OX OXX  O,6 7,,2
OX OXX   ,6,7,2 8
OX OXOXOX,2,,
OX OXOX X,,,2 7
OX OXOX  ,2 7 8,,
OX OX XOX,,2,5
OX OX XO ,2,5 8,
OX OX X O,2 5 7,,
OX OX X  ,,,2 5 7 8
OX OXO  X,6 7,,2
OX OX  OX,,6,2 5
OX OX   X,6,7,2 5
OX OX    ,6 7,,2 5 8
OX  XOXOX,,2,3
OX  XOXO ,2,3 8,
OX  XOX O,2 7,,3
OX  XOX  ,,,2 3 7 8
OX  XOO X,7,3,2
OX  XO OX,,2 3 6,
OX  XO  X,,7,2 3 6
OX  XO   ,2 6 7,3 8,
OX  XXOOX,3,,2
OX  XXOO ,3,,2 8
OX  XXO O,3 7,,2
OX  XXO  ,3,,2 7 8
OX  X OOX,,3,2 5
OX  X O X,3,7,2 5
OX  X O  ,3 7,,2 5 8
OX  XXXOO,,,2 3
OX  XX OO,3 6,,2
OX  XX O ,,3,2 6 8
OX  X XOO,2 3 5,,
OX  X XO ,,2,3 5 8
OX  X  OX,,2 3 5 6,
OX  X  O ,,3 5 6 8,2
OX  XX  O,,,2 3 6 7
OX  X X O,,,2 3 5 7
OX  X   O,2 3 5 6 7,,
OX  X    ,,7,2 3 5 6 8
OXOOOXXX ,8,,
OXOO XXXO,4,,
OXOO XXX ,,,4 8
OXOOOXX X,7,,
OXOO XXOX,,4,
OXOO XX X,,7,4
OXOO XX  ,7,4 8,
OXO OXXX ,8,,3
OXO OXXOX,,3,
OXO OXX X,,7,3
OXO OXX  ,,8,3 7
OXO  XXOX,,3 4,
OXO  XXO ,,3 4 8,
OXO  XXXO,4,,3
OXO  XX O,4,,3 7
OXO  XX  ,,4 7,3 8
OXOOOX XX,6,,
OXOO X XX,6,,4
OXOO X X ,4 6,,8
OXO OX XX,6,,3
OXO OX X ,,,3 6 8
OXO  XOXX,3 4,,
OXO  XOX ,4,,3 8
OXO  X XO,4,,3 6
OXO  X X ,4,,3 6 8
OXOO X  X,,6,4 7
OXO OX  X,,6,3 7
OXO  XO X,,,3 4 7
OXO  X OX,,3 4 6,
OXO  X  X,6,3 4 7,
OXO  X   ,4,6,3 7 8
OX OOXXX ,8,,2
OX OOXXOX,2,,
OX OOXX X,,,2 7
OX OOXX  ,8,,2 7
OX O XXOX,,2,4
OX O XXO ,2,4 8,
OX O XXXO,4,,2
OX O XX O,4,,2 7
OX O XX  ,,,2 4 7 8
OX OOX XX,6,,2
OX OOX X ,,,2 6 8
OX O X XO,4,,2 6
OX O X X ,4 6,,2 8
OX OOX  X,2 6,,7
OX O X OX,2,6,4
OX O X  X,6,2,4 7
OX O X   ,6,,2 4 7 8
OX  OXXOX,,2,3
OX  OXXO ,,8,2 3
OX  OXX  ,8,2 7,3
OX  OXOXX,2 3,,
OX  OXOX ,,,2 3 8
OX  OX X ,2 3 6 8,,
OX  OXO X,2,,3 7
OX  OX OX,2,3 6,
OX  OX  X,,2,3 6 7
OX  OX   ,,8,2 3 6 7
OX   XOXO,4,,2 3
OX   XOX ,3 4,,2 8
OX   XOOX,2 3,,4
OX   XO X,2 3,,4 7
OX   XO  ,,,2 3 4 7 8
OX   XXOO,4,,2 3
OX   XXO ,,2 4,3 8
OX   X OX,,2,3 4 6
OX   X O ,,3 4 6 8,2
OX   XX O,4,,2 3 7
OX   X XO,4,,2 3 6
OX   X  O,4,,2 3 6 7
OX   X   ,6,4 7,2 3 8
OXOO  XX ,4 5 8,,
OXO O XX ,8,,3 5
OXO  OXX ,4 8,,3
OXO   XXO,4,,3 5
OXO   XX ,,,3 4 5 8
OXOO  X X,7,4 5,
OXO O X X,7,3 5,
OXO  OX X,7,3 4,
OXO   XOX,,3 4 5,
OXO   X X,,7,3 4 5
OXO   X  ,7,4 5 8,3
OX OO XX ,8,,2 5
OX O OXX ,4 8,,2
OX O  XXO,4,,2 5
OX O  XX ,,,2 4 5 8
OX OO X X,5 7,,2
OX O OX X,4 7,,2
OX O  XOX,2,4 5,
OX O  X X,,,2 4 5 7
OX O  X  ,4 5 7 8,,2
OX  OOXX ,8,,2 3
OX  O XX ,8,,2 3 5
OX  OOX X,7,3,2
OX  O XOX,,2 3 5,
OX  O X X,,7,2 3 5
OX  O X  ,,8,2 3 5 7
OX   OXXO,4,,2 3
OX   OXX ,,,2 3 4 8
OX   OXOX,,2 3 4,
OX   OX X,,7,2 3 4
OX   OX  ,4 7,8,2 3
OX    XOX,,2 4 5,3
OX    XO ,,2 3 4 5 8,
OX    XXO,4,,2 3 5
OX    X O,4,,2 3 5 7
OX    X  ,,4 7,2 3 5 8
OXOO   XX,4 6,,5
OXO O  XX,6,,3 5
OXO  O XX,3 4 6,,
OXO   OXX,4,,3 5
OXO    XX,,,3 4 5 6
OXO    X ,4 6 8,,3 5
OX OO  XX,6,,2 5
OX O O XX,4 6,,2
OX O   XX,6,,2 4 5
OX O   X ,4 6,,2 5 8
OX  OO XX,6,3,2
OX  O OXX,,,2 3 5
OX  O  XX,6,,2 3 5
OX  O  X ,,,2 3 5 6 8
OX   OOXX,4,3,2
OX   O XX,,,2 3 4 6
OX   O X ,4 6 8,3,2
OX    OXX,3 4,,2 5
OX    OX ,4,,2 3 5 8
OX     XO,4,,2 3 5 6
OX     X ,4,,2 3 5 6 8
OXO     X,7,3 4 6,5
OX O    X,6,,2 4 5 7
OX  O   X,,2 3 5 6,7
OX   O  X,7,3 4 6,2
OX    O X,,3,2 4 5 7
OX     OX,,2 3 4 5 6,
OX      X,,4 6 7,2 3 5
OX       ,,3 4 6 8,2 5 7
 XOXOXXOO,0,,
 XOXOXXO ,,0,8
 XOXOX OX,6,0,
 XOXOX O ,,6,0 8
 XOXOXX O,0,,7
 XOXOX XO,0 6,,
 XOXOX  O,,,0 6 7
 XOXOX   ,0 6 8,7,
 XOXOOXX ,8,,0
 XOXOOXOX,0,,
 XOXOOX X,,,0 7
 XOXOOX  ,0 8,,7
 XOXO XOX,,0,5
 XOXO XO ,0,5 8,
 XOXO XXO,0 5,,
 XOXO X O,0,,5 7
 XOXO X  ,,0,5 7 8
 XOXOO XX,6,,0
 XOXOO X ,,,0 6 8
 XOXO  XO,,,0 5 6
 XOXO  X ,0 5 6 8,,
 XOXOO  X,6,,0 7
 XOXO  OX,,6,0 5
 XOXO   X,6,0 7,5
 XOXO    ,,6,0 5 7 8
 XOXXOOOX,0,,
 XOXXOO X,,,0 7
 XOXXOO  ,7 8,,0
 XOXXOXO ,8,0,
 XOXXO OX,,0,6
 XOXXO O ,,8,0 6
 XOXXO   ,8,7,0 6
 XOX OXOX,,0,4
 XOX OXO ,0,8,4
 XOX OX  ,8,0,4 7
 XOX OOXX,4,,0
 XOX OOX ,4,,0 8
 XOX O X ,4 8,,0 6
 XOX OO X,4,,0 7
 XOX O OX,0,4 6,
 XOX O  X,,,0 4 6 7
 XOX O   ,8,,0 4 6 7
 XOXX OOX,,,0 5
 XOXX OO ,5 8,,0
 XOXX O O,5 7,,0
 XOXX O  ,,,0 5 7 8
 XOX XOOX,4,,0
 XOX XOO ,4,,0 8
 XOX XOXO,4,,0
 XOX XO O,4,,0 7
 XOX XO  ,4,,0 7 8
 XOX  OXO,4,,0 5
 XOX  OX ,4,,0 5 8
 XOX  OOX,4,,0 5
 XOX  O X,4,,0 5 7
 XOX  O  ,4,,0 5 7 8
 XOXX XOO,5,,0
 XOXX  OO,5,,0 6
 XOXX  O ,,5,0 6 8
 XOX XXOO,,,0 4
 XOX X OO,4 6,,0
 XOX X O ,,4,0 6 8
 XOX  XOO,0 5,,4
 XOX  XO ,,0,4 5 8
 XOX   OX,,0 4,5 6
 XOX   O ,,4 5 6 8,0
 XOXX   O,5,,0 6 7
 XOX X  O,4,,0 6 7
 XOX  X O,0 5,,4 7
 XOX   XO,4 5,,0 6
 XOX    O,,,0 4 5 6 7
 XOX     ,8,4 7,0 5 6
 XOOXXOOX,0,,
 XOOXXO X,0,,7
 XOOXXO  ,0 7,,8
 XOOXXXOO,,0,
 XOOXXXO ,,0 8,
 XOOXX OX,,0,6
 XOOXX O ,,0 6 8,
 XOOXXX O,,7,0
 XOOXX  O,7,0 6,
 XOOXX   ,,7,0 6 8
 XOOXOXOX,0,,
 XOOXOX X,,,0 7
 XOOXOX  ,7 8,,0
 XOOX XOX,,0,5
 XOOX XO ,,0 5 8,
 XOOX X O,7,5,0
 XOOX X  ,,7,0 5 8
 XOOXO  X,0 6 7,,
 XOOX O X,0 7,,5
 XOOX  OX,0,5 6,
 XOOX   X,,,0 5 6 7
 XOOX    ,0 7 8,5 6,
 XO XOXOX,,0,3
 XO XOXO ,,8,0 3
 XO XOX  ,8,7,0 3
 XO XOO X,0 3 7,,
 XO XO OX,0,3 6,
 XO XO  X,,,0 3 6 7
 XO XO   ,7 8,,0 3 6
 XO XXOOX,,,0 3
 XO XXOO ,3 8,,0
 XO XXO O,3 7,,0
 XO XXO  ,,,0 3 7 8
 XO X OOX,0 3 5,,
 XO X O X,,,0 3 5 7
 XO X O  ,0 3 5 7 8,,
 XO XXXOO,,3,0
 XO XX OO,3,6,0
 XO XX O ,,3,0 6 8
 XO X XOO,,5,0 3
 XO X XO ,,0 3 5 8,
 XO X  OX,,0,3 5 6
 XO X  O ,,3 5 6 8,0
 XO XX  O,,,0 3 6 7
 XO X X O,5,7,0 3
 XO X   O,5 7,,0 3 6
 XO X    ,,7,0 3 5 6 8
 XOOOXXXO,,0,
 XOOOXXX ,,8,0
 XOOOXXOX,,0,
 XOOOXX X,,7,0
 XOOOXX  ,,0 7 8,
 XOO XXOX,,0 4,
 XOO XXO ,,0 4 8,
 XOO XXXO,,4,0
 XOO XX O,,0 4 7,
 XOO XX  ,,4 7 8,0
 XOOOX XX,6,,0
 XOOOX X ,,6,0 8
 XOO XOXX,0 4,,
 XOO XOX ,4,,0 8
 XOO X XO,4,0 6,
 XOO X X ,,4,0 6 8
 XOOOX  X,,6,0 7
 XOO XO X,,,0 4 7
 XOO X OX,,0 4 6,
 XOO X  X,6,0 4 7,
 XOO X   ,,0 4 6 7,8
 XO OXXOX,,0 3,
 XO OXXO ,,0 3 8,
 XO OXXXO,0,3,
 XO OXX O,,0,3 7
 XO OXX  ,,0 3 7 8,
 XO OX XO,,,0 3 6
 XO OX X ,0 6 8,3,
 XO OX OX,,6,0 3
 XO OX  X,6,0 3 7,
 XO OX   ,,6,0 3 7 8
 XO  XOXO,4,,0 3
 XO  XOX ,4,,0 3 8
 XO  XOOX,4,,0 3
 XO  XO X,0 3 4,,7
 XO  XO  ,4,,0 3 7 8
 XO  XXOO,3,0 4,
 XO  XXO ,,0 3 4,8
 XO  X OX,,0 3 4,6
 XO  X O ,,3 4 6 8,0
 XO  XX O,,3 4,0 7
 XO  X XO,4,,0 3 6
 XO  X  O,4,6,0 3 7
 XO  X   ,,3 4 7,0 6 8
 XOOO XX ,8,5,0
 XOO OXX ,4 8,,0
 XOO  XXO,4,5,0
 XOO  XX ,,,0 4 5 8
 XOOO X X,7,5,0
 XOO OX X,4 7,,0
 XOO  XOX,,0 4 5,
 XOO  X X,,7,0 4 5
 XOO  X  ,7,4 5 8,0
 XO OOXX ,8,,0 3
 XO O XXO,,,0 3 5
 XO O XX ,8,,0 3 5
 XO OOX X,3 7,,0
 XO O XOX,,0 3 5,
 XO O X X,,7,0 3 5
 XO O X  ,,0 3 5 8,7
 XO  OXX ,8,,0 3 4
 XO  OXOX,0,3 4,
 XO  OX X,,,0 3 4 7
 XO  OX  ,8,,0 3 4 7
 XO   XOX,,0 3 4,5
 XO   XO ,,0 3 4 5 8,
 XO   XXO,4 5,,0 3
 XO   X O,,5,0 3 4 7
 XO   X  ,,4 7 8,0 3 5
 XOOO  XX,6,,0 5
 XOO O XX,4 6,,0
 XOO  OXX,4,,0 5
 XOO   XX,,,0 4 5 6
 XOO   X ,4 6 8,5,0
 XO OO XX,6,,0 3
 XO O  XX,6,,0 3 5
 XO O  X ,,,0 3 5 6 8
 XO  OOXX,4,,0 3
 XO  O XX,,,0 3 4 6
 XO  O X ,4 8,,0 3 6
 XO   OXX,4,,0 3 5
 XO   OX ,4,,0 3 5 8
 XO    XO,4,,0 3 5 6
 XO    X ,4,,0 3 5 6 8
 XOO    X,4 7,6,0 5
 XO O   X,,6,0 3 5 7
 XO  O  X,3 4 6 7,,0
 XO   O X,4,,0 3 5 7
 XO    OX,,0 3 4 5 6,
 XO     X,,4 7,0 3 5 6
 XO      ,,4 5 6 8,0 3 7
 XXOOXOXO,0,,
 XXOOXOX ,0,,8
 XXOOXO  ,0 8,,7
 XXOOXXOO,0,,
 XXOOXXO ,,,0 8
 XXOOX O ,0 6 8,,
 XXOOXX O,0,,7
 XXOOX XO,0,,6
 XXOOX  O,0,,6 7
 XXOOX   ,,,0 6 7 8
 XXOO XOX,5,,0
 XXOO XO ,0 5,,8
 XXOO XXO,0 5,,
 XXOO X O,0,,5 7
 XXOO X  ,0 5,,7 8
 XXOO OXX,0 5,,
 XXOO OX ,0,,5 8
 XXOO  XO,0,,5 6
 XXOO  X ,0 5,,6 8
 XXOO O X,0 5,,7
 XXOO  OX,0 5,,6
 XXOO   X,5,,0 6 7
 XXOO    ,0 5,,6 7 8
 XXOXOOOX,0,,
 XXOXOO X,0,,7
 XXOXOO  ,0 7,,8
 XXOXO OX,,,0 6
 XXOXO O ,0 6 8,,
 XXOXO  O,0 6 7,,
 XXOXO   ,,,0 6 7 8
 XXO OXOX,4,,0
 XXO OXO ,0 4,,8
 XXO OXXO,4,,0
 XXO OX O,0 4,,7
 XXO OX  ,4,,0 7 8
 XXO OOXX,0 4,,
 XXO OOX ,0 4,,8
 XXO O XO,0 4,,6
 XXO O X ,4,,0 6 8
 XXO OO X,0,,4 7
 XXO O OX,0 4,,6
 XXO O  X,0 4,,6 7
 XXO O   ,0 4,,6 7 8
 XXOXXOO ,0 8,,
 XXOX OOX,0,,5
 XXOX OO ,0,,5 8
 XXOXXO O,0 7,,
 XXOX O O,0 7,,5
 XXOX O  ,0,,5 7 8
 XXO XOO ,0 8,,4
 XXO XOXO,0,,4
 XXO XO O,0,,4 7
 XXO XO  ,0,,4 7 8
 XXO  OXO,0 4,,5
 XXO  OX ,0,,4 5 8
 XXO  OOX,0 5,,4
 XXO  O X,0,,4 5 7
 XXO  O  ,0,,4 5 7 8
 XXOXX OO,6,,0
 XXOX  OO,0 6,,5
 XXOX  O ,,,0 5 6 8
 XXO XXOO,,,0 4
 XXO X OO,0 6,,4
 XXO X O ,,,0 4 6 8
 XXO  XOO,0 4 5,,
 XXO  XO ,,,0 4 5 8
 XXO   OX,,,0 4 5 6
 XXO   O ,0 4 5 6 8,,
 XXOX   O,,,0 5 6 7
 XXO X  O,0,,4 6 7
 XXO  X O,,,0 4 5 7
 XXO   XO,,,0 4 5 6
 XXO    O,0 4 6 7,,5
 XXO     ,0,,4 5 6 7 8
 X OXOXOX,,,0 2
 X OXOXO ,0 2 8,,
 X OXOX O,2 7,,0
 X OXOX  ,,,0 2 7 8
 X OXOO X,0 7,,2
 X OXO OX,0 2 6,,
 X OXO  X,,,0 2 6 7
 X OXO   ,0 2 6 7 8,,
 X OXXOOX,0,,2
 X OXXOO ,,,0 2 8
 X OXXO O,7,,0 2
 X OXXO  ,0 7,,2 8
 X OX OOX,0,,2 5
 X OX O X,0,,2 5 7
 X OX O  ,0 7,,2 5 8
 X OXXXOO,,2,0
 X OXX OO,,6,0 2
 X OXX O ,6,0 2 8,
 X OX XOO,2,0 5,
 X OX XO ,,2,0 5 8
 X OX  OX,,0,2 5 6
 X OX  O ,0 2,6 8,5
 X OXX  O,,7,0 2 6
 X OX X O,,,0 2 5 7
 X OX   O,0 2 6 7,5,
 X OX    ,,,0 2 5 6 7 8
 X OOXXOX,,2,0
 X OOXXO ,2,0 8,
 X OOXXXO,0,2,
 X OOXX O,,0,2 7
 X OOXX  ,,2 8,0 7
 X OOXOXX,0 2,,
 X OOXOX ,,,0 2 8
 X OOX XO,,0,2 6
 X OOX X ,0 6,2 8,
 X OOXO X,2,,0 7
 X OOX OX,2,0 6,
 X OOX  X,,2,0 6 7
 X OOX   ,2,0 6 8,7
 X O XOXO,0 4,,2
 X O XOX ,0 4,,2 8
 X O XOOX,0 2,,4
 X O XO X,0 2,,4 7
 X O XO  ,0,,2 4 7 8
 X O XXOO,2,0 4,
 X O XXO ,,2,0 4 8
 X O X OX,,2,0 4 6
 X O X O ,2,0 6 8,4
 X O XX O,,2 4,0 7
 X O X XO,,4,0 2 6
 X O X  O,,0 4 6 7,2
 X O X   ,,2 8,0 4 6 7
 X OO XXO,,,0 2 5
 X OO XX ,5 8,,0 2
 X OO XOX,,5,0 2
 X OO X X,5,7,0 2
 X OO X  ,,5,0 2 7 8
 X O OXXO,4,,0 2
 X O OXX ,4,,0 2 8
 X O OXOX,4,,0 2
 X O OX X,4,,0 2 7
 X O OX  ,4,,0 2 7 8
 X O  XOX,,2 4,0 5
 X O  XO ,2,0 4 5 8,
 X O  XXO,4,,0 2 5
 X O  X O,2 4,0 5,7
 X O  X  ,,4,0 2 5 7 8
 X OO OXX,,,0 2 5
 X OO  XX,5 6,,0 2
 X OO  X ,,,0 2 5 6 8
 X O OOXX,4,,0 2
 X O O XX,4,,0 2 6
 X O O X ,4,,0 2 6 8
 X O  OXX,0 4,,2 5
 X O  OX ,0 4,,2 5 8
 X O   XO,0 2 4,5,6
 X O   X ,4,,0 2 5 6 8
 X OO   X,,5,0 2 6 7
 X O O  X,4,,0 2 6 7
 X O  O X,0,,2 4 5 7
 X O   OX,0 2,4 5 6,
 X O    X,,4,0 2 5 6 7
 X O     ,0 4,5 6 8,2 7
 XXXOOOXO,0,,
 XXXOOOX ,,0,8
 XXXOOOOX,0,,
 XXXOOO X,,0,7
 XXXOOO  ,0,7 8,
 XXXOOXOO,0,,
 XXXOOXO ,,0,8
 XXXOO OX,,0,6
 XXXOO O ,0,6 8,
 XXXOOX O,0,,7
 XXXOO XO,0,,6
 XXXOO  O,0,,6 7
 XXXOO   ,,0,6 7 8
 XX OOXOX,3,0,
 XX OOXO ,0,3,8
 XX OOXXO,0 3,,
 XX OOX O,0,,3 7
 XX OOX  ,0 3,,7 8
 XX OOOXX,3,0,
 XX OOOX ,0,3,8
 XX OO XO,0,,3 6
 XX OO X ,0 3,,6 8
 XX OOO X,0,3,7
 XX OO OX,0,3,6
 XX OO  X,3,0,6 7
 XX OO   ,0,3,6 7 8
 XXXOXOO ,8,,0
 XXXO OOX,,,0 5
 XXXO OO ,0 8,,5
 XXXOXO O,0 7,,
 XXXO OXO,0,,5
 XXXO O O,0,,5 7
 XXXO O  ,,0,5 7 8
 XX OXOO ,0 8,,3
 XX OXOXO,0,,3
 XX OXO O,0,,3 7
 XX OXO  ,,,0 3 7 8
 XX O OXO,0,,3 5
 XX O OX ,0,,3 5 8
 XX O OOX,0 3 5,,
 XX O O X,,,0 3 5 7
 XX O O  ,0 5 8,3,7
 XXXOX OO,0 6,,
 XXXO XOO,0,,5
 XXXO  OO,0,,5 6
 XXXO  O ,,0,5 6 8
 XX OXXOO,0,,3
 XX OX OO,0,,3 6
 XX OX O ,,,0 3 6 8
 XX O XOO,0,,3 5
 XX O XO ,,0,3 5 8
 XX O  OX,,,0 3 5 6
 XX O  O ,0 5 8,3 6,
 XXXO   O,0,,5 6 7
 XX OX  O,0,,3 6 7
 XX O X O,0,,3 5 7
 XX O  XO,0,,3 5 6
 XX O   O,0,,3 5 6 7
 XX O    ,,0,3 5 6 7 8
 X XOOXOX,,0,2
 X XOOXO ,0,2 8,
 X XOOXXO,0 2,,
 X XOOX O,0,,2 7
 X XOOX  ,,0,2 7 8
 X XOOOXX,2,0,
 X XOOOX ,,2,0 8
 X XOO XO,,,0 2 6
 X XOO X ,2 8,0 6,
 X XOOO X,,2,0 7
 X XOO OX,0,2 6,
 X XOO  X,,0 6,2 7
 X XOO   ,0,2 6 8,7
 X XOXOOX,2,,0
 X XOXOO ,,,0 2 8
 X XOXOXO,0 2,,
 X XOXO O,,,0 2 7
 X XOXO  ,0 2 7 8,,
 X XO OXO,,,0 2 5
 X XO OX ,0 2 8,5,
 X XO OOX,2,,0 5
 X XO O X,2,0 5,7
 X XO O  ,,2,0 5 7 8
 X XOXXOO,0,,2
 X XOX OO,,,0 2 6
 X XOX O ,6 8,0 2,
 X XO XOO,0,,2 5
 X XO XO ,,0,2 5 8
 X XO  OX,,0 2,5 6
 X XO  O ,0,2 6 8,5
 X XOX  O,0 2 6 7,,
 X XO X O,0,,2 5 7
 X XO  XO,0 2 5 6,,
 X XO   O,0,,2 5 6 7
 X XO    ,,0 2 6,5 7 8
 X  OXOXO,,,0 2 3
 X  OXOX ,0 2 3 8,,
 X  OXOOX,2,,0 3
 X  OXO X,2,,0 3 7
 X  OXO  ,2,,0 3 7 8
 X  OXXOO,0,,2 3
 X  OXXO ,,0 2,3 8
 X  OX OX,,2,0 3 6
 X  OX O ,2,0 6 8,3
 X  OXX O,0,2 3,7
 X  OX XO,0 2 6,3,
 X  OX  O,,0,2 3 6 7
 X  OX   ,,0 2 8,3 6 7
 X  OOXXO,,,0 2 3
 X  OOXX ,3 8,,0 2
 X  OOXOX,,3,0 2
 X  OOX X,3,7,0 2
 X  OOX  ,,3,0 2 7 8
 X  O XOX,,0 2 3 5,
 X  O XO ,0,2 3 5 8,
 X  O XXO,0 2 3 5,,
 X  O X O,0,,2 3 5 7
 X  O X  ,,0 2 3 5,7 8
 X  OOOXX,,,0 2 3
 X  OO XX,3 6,,0 2
 X  OO X ,,,0 2 3 6 8
 X  O OXX,0 2 3 5,,
 X  O OX ,,,0 2 3 5 8
 X  O  XO,,,0 2 3 5 6
 X  O  X ,0 2 3 5 6 8,,
 X  OO  X,,3,0 2 6 7
 X  O O X,2,,0 3 5 7
 X  O  OX,2,0 3 5 6,
 X  O   X,,0 2 3 5,6 7
 X  O    ,,0 2 3 5 6 8,7
 XXXXOOO ,8,0,
 XXX OOOX,,0,4
 XXX OOO ,0,8,4
 XXXXOO O,7,,0
 XXX OOXO,,,0 4
 XXX OO O,0 7,,4
 XXX OO  ,,0,4 7 8
 XX XOOOX,,0,3
 XX XOOO ,0,8,3
 XX XOO O,0 7,,3
 XX XOO  ,,,0 3 7 8
 XX  OOXO,0 3 4,,
 XX  OOX ,,,0 3 4 8
 XX  OOOX,0,3 4,
 XX  OO X,,0,3 4 7
 XX  OO  ,0 4 7,3 8,
 XXXXO OO,6,,0
 XXX OXOO,,,0 4
 XXX O OO,0 6,,4
 XXX O O ,,0,4 6 8
 XX XO OO,0 6,,3
 XX XO O ,,,0 3 6 8
 XX  OXOO,0 3 4,,
 XX  OXO ,,,0 3 4 8
 XX  O OX,,0,3 4 6
 XX  O O ,0 4 6,3 8,
 XXX O  O,,,0 4 6 7
 XX XO  O,,,0 3 6 7
 XX  OX O,,,0 3 4 7
 XX  O XO,,,0 3 4 6
 XX  O  O,0 3 4 6 7,,
 XX  O   ,,,0 3 4 6 7 8
 X XXOOOX,,0,2
 X XXOOO ,,8,0 2
 X XXOO O,7,,0 2
 X XXOO  ,,7,0 2 8
 X X OOXO,2 4,,0
 X X OOX ,,4,0 2 8
 X X OOOX,0,2 4,
 X X OO X,,0 4,2 7
 X X OO  ,,2 4 7 8,0
 X XXOXOO,2,,0
 X XXO OO,,,0 2 6
 X XXO O ,8,0 2 6,
 X X OXOO,0 2,,4
 X X OXO ,,0,2 4 8
 X X O OX,,0,2 4 6
 X X O O ,0,2 6 8,4
 X XXO  O,2 7,,0 6
 X X OX O,0 2,,4 7
 X X O XO,2 4,,0 6
 X X O  O,2,,0 4 6 7
 X X O   ,,0 6,2 4 7 8
 X  XOOOX,0,2 3,
 X  XOO X,,,0 2 3 7
 X  XOO  ,0 2 7 8,3,
 X  XOXOO,2,,0 3
 X  XOXO ,,2,0 3 8
 X  XO OX,,0,2 3 6
 X  XO O ,0 2,6 8,3
 X  XOX O,2,,0 3 7
 X  XO  O,2 7,,0 3 6
 X  XO   ,,,0 2 3 6 7 8
 X   OXOX,,0 4,2 3
 X   OXO ,0 2,3 4 8,
 X   OXXO,2 4,,0 3
 X   OX O,2,,0 3 4 7
 X   OX  ,,4,0 2 3 7 8
 X   OOXX,4,,0 2 3
 X   OOX ,0 2 4,3,8
 X   O XO,2 4,,0 3 6
 X   O X ,4,,0 2 3 6 8
 X   OO X,0 4,2 3,7
 X   O OX,0,2 3 4 6,
 X   O  X,,4,0 2 3 6 7
 X   O   ,2 4,3 6 8,0 7
 XXX  OO ,8,0,4 5
 XX X OO ,0 8,,3 5
 XX  XOO ,8,,0 3 4
 XX   OOX,,,0 3 4 5
 XX   OO ,0 8,,3 4 5
 XXX  O O,0 7,,4 5
 XX X O O,7,,0 3 5
 XX  XO O,0 7,,3 4
 XX   OXO,,,0 3 4 5
 XX   O O,0 7,,3 4 5
 XX   O  ,0,,3 4 5 7 8
 X XX OO ,8,5,0 2
 X X XOO ,4 8,,0 2
 X X  OOX,,,0 2 4 5
 X X  OO ,8,,0 2 4 5
 X XX O O,7,,0 2 5
 X X XO O,4 7,,0 2
 X X  OXO,4,,0 2 5
 X X  O O,,,0 2 4 5 7
 X X  O  ,8,4 5,0 2 7
 X  XXOO ,3 8,,0 2
 X  X OOX,,0,2 3 5
 X  X OO ,,8,0 2 3 5
 X  XXO O,7,,0 2 3
 X  X O O,7,,0 2 3 5
 X  X O  ,,7,0 2 3 5 8
 X   XOOX,,,0 2 3 4
 X   XOO ,8,,0 2 3 4
 X   XOXO,4,,0 2 3
 X   XO O,,,0 2 3 4 7
 X   XO  ,0 8,,2 3 4 7
 X    OXO,0 2 4,,3 5
 X    OX ,4,,0 2 3 5 8
 X    OOX,0 2 3 5,4,
 X    O X,,0,2 3 4 5 7
 X    O  ,0,4 8,2 3 5 7
 XXX   OO,0 6,,4 5
 XX X  OO,6,,0 3 5
 XX  X OO,0 6,,3 4
 XX   XOO,,,0 3 4 5
 XX    OO,0 6,,3 4 5
 XX    O ,,0,3 4 5 6 8
 X XX  OO,5 6,,0 2
 X X X OO,4 6,,0 2
 X X  XOO,,,0 2 4 5
 X X   OO,6,,0 2 4 5
 X X   O ,,0 2,4 5 6 8
 X  XX OO,6,3,0 2
 X  X XOO,,2,0 3 5
 X  X  OO,,6,0 2 3 5
 X  X  O ,,0 2 6 8,3 5
 X   XXOO,,,0 2 3 4
 X   X OO,6,,0 2 3 4
 X   X O ,,0 2,3 4 6 8
 X    XOO,0 2 3 5,4,
 X    XO ,,0 2,3 4 5 8
 X     OX,,0 2,3 4 5 6
 X     O ,,0 2 3 4 5 6 8,
 XX     O,,,0 3 4 5 6 7
 X X    O,2 6,,0 4 5 7
 X  X   O,,7,0 2 3 5 6
 X   X  O,6,3 4,0 2 7
 X    X O,,2,0 3 4 5 7
 X     XO,4,,0 2 3 5 6
 X      O,2,4 6,0 3 5 7
 X       ,,0 2 4 7,3 5 6 8
OOXXXOOX ,,8,
OOXXXO XO,6,,
OOXXXO X ,,6,8
OOXXXOO X,,7,
OOXXXO OX,6,,
OOXXXO  X,,6,7
OOXXXO   ,6,7 8,
OOXXX OXO,5,,
