Board_State,Win_Moves,Draw_Moves,Lose_Moves
X O   OXX,4,,1 3 5
X O   OX ,4,,1 3 5 8
X O    XO,,5,1 3 4 6
X O    X ,,8,1 3 4 5 6
X OO    X,4 6 7,5,1
X O O   X,6,,1 3 5 7
X O  O  X,3 4 6 7,,1
X O   O X,4,,1 3 5 7
X O    OX,3 4 6,1,5
X O     X,,,1 3 4 5 6 7
X O      ,3 6 8,4 5 7,1
XX OOXOXO,2,,
XX OOXOX ,2,,8
XX OOXOOX,2,,
XX OOXO X,2,,7
XX OOXO  ,2,,7 8
XX OOXXOO,2,,
XX OOXXO ,,2,8
XX OOX OX,,2,6
XX OOX O ,2,6 8,
XX OOXX O,,2,7
XX OOX XO,,2,6
XX OOX  O,2,6 7,
XX OOX   ,,2,6 7 8
XX OO XOX,5,2,
XX OO XO ,2,5,8
XX OO XXO,5,2,
XX OO X O,2,5,7
XX OO X  ,5,2,7 8
XX OO OXX,2 5,,
XX OO OX ,2,,5 8
XX OO  XO,2,5,6
XX OO  X ,2 5,,6 8
XX OO O X,2,,5 7
XX OO  OX,2,5,6
XX OO   X,2 5,,6 7
XX OO    ,2,5,6 7 8
XX OXOO  ,2 7 8,,
XX OXOXOO,2,,
XX OXOXO ,,,2 8
XX OXO O ,2 6 8,,
XX OXOX O,2,,7
XX OXO  O,2 7,,6
XX OXO   ,,,2 6 7 8
XX O OXOX,4,,2
XX O OXO ,2 4,,8
XX O OXXO,2 4,,
XX O OX O,2,,4 7
XX O OX  ,2 4,,7 8
XX O OOXX,4,,2
XX O OOX ,2 4,,8
XX O O XO,2 4,,6
XX O O X ,4,,2 6 8
XX O OO X,2 4,,7
XX O O OX,2 4,,6
